Country,Total_Quantity_Sold
United Kingdom,4008533
Netherlands,200128
EIRE,136329
Germany,117448
France,109848
Australia,83653
Sweden,35637
Switzerland,29778
Spain,26824
Japan,25218
Belgium,23152
Norway,19247
Portugal,16044
Finland,10666
Channel Islands,9479
Denmark,8188
Italy,7999
Cyprus,6317
Singapore,5234
Austria,4827
Israel,3990
Poland,3653
Canada,2763
Iceland,2458
Unspecified,1789
Greece,1556
USA,1034
United Arab Emirates,982
Malta,944
Lithuania,652
Czech Republic,592
European Community,497
Lebanon,386
Brazil,356
RSA,352
Bahrain,260
Saudi Arabia,75
